path,reason,action
debug_monthly_forensics.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
fix_dashboards.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
gate1_forensic_investigation.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
gate1_sales_pilot.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
generate_final_perfect_artifacts.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
oops_details.txt,Contains non-professional or temporary terminology,SUMMARIZE_THEN_DELETE
scratch_sync.bat,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
verify_final_dashboards.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
verify_gate1.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
docs\phase11_0\dashboard_repair_decision.md,Contains non-professional or temporary terminology,SUMMARIZE_THEN_DELETE
docs\phase11_2_live\final_data_truth.md,Contains non-professional or temporary terminology,SUMMARIZE_THEN_DELETE
docs\phase11_2_live\remaining_dashboard_results.md,Contains non-professional or temporary terminology,SUMMARIZE_THEN_DELETE
docs\phase11_2_primary\finance_data_availability.md,Contains non-professional or temporary terminology,SUMMARIZE_THEN_DELETE
docs\phase11_2_repair\forensic_repair_report.md,Contains non-professional or temporary terminology,SUMMARIZE_THEN_DELETE
ERP-BIDSS\fix_odoo_order_dates.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\verify_approved_forecast.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\fix_dashboard.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\app\main.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\database\Odoo_BI_Project_Final.dump,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\odoo\fix_duplicates.sql,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\odoo\repair_odoo_records.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\scratch\build_all_remaining_dashboards.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\scratch\fix_spreadsheet_schema_attributes.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\scratch\forensic_dashboard_anatomy.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\scratch\forensic_fields_audit.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
ERP-BIDSS\backend\scratch\forensic_runtime_audit.py,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
odoo\addons\crm_mail_plugin\static\src\to_translate\translations_gmail.xml,Contains non-professional or temporary terminology,RENAME_OR_QUARANTINE
